"1 star","1 Stern"
"2 stars","2 Sterne"
"3 stars","3 Sterne"
"4 stars","4 Sterne"
"5 stars","5 Sterne"
"Add New Rating","Neue Bewertung hinzufügen"
"Assigned Options","Zugewiesene Optionen"
"Assigned Options","Zugewiesene Optionen"
"Be the first to review this product","Bewerten Sie dieses Produkt als Erster"
"Be the first to review this product","Bewerten Sie dieses Produkt als Erster"
"Default Value","Vorgegebener Wert"
"Delete Rating","Vorgegebene Bewertung"
"Edit Rating","Bewertung bearbeiten"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Wenn Sie keinen Bewertungstitel für einen Store spezifizieren, wird der vorgegebene Wert genutzt."
"Manage Ratings","Bewertungen verwalten"
"Manage Ratings","Bewertungen verwalten"
"New Rating","Neue Bewertung"
"Option Label","Option Label"
"Option Title","Option Titel"
"Option Title:","Option Titel:"
"Option Title:","Option Titel:"
"Please select one of each ratings above","Bitte wählen Sie oben eine Bewertung"
"Rating Information","Bewertungsinformation"
"Rating Information","Bewertungsinformation"
"Rating Information","Bewertungsinformation"
"Rating Name","Bewertungsname"
"Rating Options","Bewertungsoptionen"
"Rating Options","Bewertungsoptionen"
"Rating Title","Bewertungstitel"
"Rating Visibility","Sichtbarkeit der Bewertung"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Rating isn't Available","Bewertung ist nicht verfügbar"
"Rating with the same title","Bewertung mit gleichem Titel"
"Save Rating","Bewertung speichern"
"Sort Order","Sortierfolge"
"Sort Order","Sortierfolge"
"Visible In","Sichtbar in"
