"MageMall Extensions","MageMall组件中心"
"Magemall Core","MageMall核心设置"
"Will check for Magemall extensions updates","启用后将检查Magemall组件的更新"
"I'd like to be informed by Magemall in language","请选择更新信息语言"
"Simplified Chinese","简体中文"
"Enable","启用"
"Installed Magemall Extensions","已安装组件"
"Language","语言"
"I'd like to be informed by Magemall about:","我希望收到以下新的咨询"
"My extensions updates","我已安装的组件更新信息"
"Other information","其它"
"All extensions updates","所有组件的升级信息"
"New Releases","新组件发布信息"
"Promotions/Discounts","Magemall的促销或折扣信息"
"Notifications","通知"
